Baraem.qa@SD|BaraemTV
beIN4K.qa@SD|beIN 4K
beINGourmet.qa@SD|beINGOURMET
beINMovies1Premiere.qa@SD|beINMOVIES1
beINMovies2Action.qa@SD|beINMOVIES2
beINMovies3Drama.qa@SD|beINMOVIES3
beINMovies4Family.qa@SD|beINMOVIES4
beINSeries1.qa@SD|beINSERIES1
beINSports.qa@MENA|beIN SPORTS
beINSports1.qa@MENA|beIN SPORTS 1
beINSports2.qa@MENA|beIN SPORTS 2
beINSports3.qa@MENA|beIN SPORTS 3
beINSports4.qa@MENA|beIN SPORTS 4
beINSports4KHDR.qa|beINSPORTS4KHDR
beINSports5.qa@MENA|beIN SPORTS 5
beINSports6.qa@MENA|beIN SPORTS 6
beINSports7.qa@MENA|beIN SPORTS 7
beINSports8.qa@MENA|beIN SPORTS 8
beINSports9.qa@MENA|beINSPORTS9
beINSportsMax1.qa@MENA|beIN SPORTS MAX 1
beINSportsMax2.qa@MENA|beIN SPORTS MAX 2
beINSportsMax3.qa@MENA|beIN SPORTS MAX 3
beINSportsMax4.qa@MENA|beIN SPORTS MAX 4
beINSportsMax5.qa@MENA|beIN SPORTS MAX 5
beINSportsMax6.qa@MENA|beIN SPORTS MAX 6
beINSportsNews.qa@SD|beIN SPORTS NEWS
beINSportsXtra1.qa@SD|beIN SPORTS XTRA 1
beINSportsXtra2.qa@SD|beIN SPORTS XTRA 2
BeJunior.qa@SD|21
