Alarabiya.ae@SD|العربية
AlArabiyaBusiness.ae@SD|العربية Business
AlArabiyaEnglish.sa@SD|AL Arabiya English
AlArabiyaPrograms.ae|العربية برامج
AlHadath.sa@SD|الحدث
MBC1.ae@SD|MBC1
MBC1Egypt.eg@HD|MBC1
MBC2.ae@SD|MBC2
MBC3.ae@SD|MBC3
MBC4.ae@SD|MBC4
MBC5.ae@SD|MBC5
MBCAction.ae@SD|MBC Action
MBCBollywood.ae@SD|MBC Bollywood
MBCDrama.ae@SD|MBC Drama
MBCIraq.iq@SD|MBC Iraq
MBCMasr.eg@SD|MBC Masr
MBCMasr2.eg@SD|MBC Masr2
MBCMasrDrama.sa@SD|مصر دراما
MBCMax.ae@SD|MBC MAX
MBCPersia.ae@SD|MBC Persia
MBCPlusDrama.sa@SD|MBC Plus Drama
Wanasah.ae@SD|وناسه
