provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,suspicious_clone,clone_group_size,url
epgshare,AE1,Dubai.ae,Dubai,75,62.0,82.7,منتصف النهار: Ep 233,أخبار منتصف النهار.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sama.Dubai.ae,Sama Dubai,93,62.5,57.0,منتصف النهار: Ep 233,أخبار منتصف النهار.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,One.Tv.ae,One Tv,43,60.5,69.8,Sweet Diva: Ep 120,"Maria da Paz is a committed baker who becomes a wealthy businesswoman twenty years after a tragedy strikes on the day of her wedding to Amadeu. From this broken union a baby is born, Jô, who seeks power and despises her mother’s humble origins. Afraid that her parents’ reunion might spoil her plans, Jô starts an alliance with the charming Régis to convince Maria to marry him and, together, they plan to steal all of Maria’s fortune. In this exciting telenovela written by Emmy Awards winner Walcyr Carrasco, Maria’s optimism must be stronger than Jô’s ambition when the baker finds out about the betrayal and her own daughter’s dangerous secrets.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Noor.DubaiTV.ae,Noor DubaiTV,83,62.5,19.3,ساعة اسرية: Ep  25,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Sports.1.ae,Dubai Sports 1,37,39.7,0.0,NWSL – R22) North Carolina Courage vs Gotham,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Racing.ae,Dubai Racing,16,49.0,0.0,Dubai International Arabian Horse Championship  - 05/04/2026,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Zaman.ae,Dubai Zaman,92,62.0,20.7,Al Bawassel ep 23,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.Radio.ae,Dubai Radio,0,0,0.0,,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Noor.Dubai.Radio.ae,Noor Dubai Radio,0,0,0.0,,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Quran.Radio.ae,Quran Radio,0,0,0.0,,,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Abu.Dhabi.HD.ae,Abu Dhabi HD,95,85.0,100.0,North Star,"Kuzey returns to his hometown 20 years later with his three daughters after his wife abandons him and leaves him penniless, unaware his action would reignite a long-standing feud between his family and that of his ex-fiancée, Yildiz. Ismail Demirci, Aslihan Guner.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Emarat.HD.ae,Emarat HD,100,84.5,100.0,When We Were Young,"Two people fall in love, then drift apart. Years later, a chance encounter brings them together again, stirring memories of what they once shared and forcing them to confront the past—while wondering if love deserves a second chance. Khaled Ameen, Meysaa Maghrebi, Hussain Al Mahdy, Shaima Sabt, Ibrahim Al Zedgaly, Dana Al Salem, Youssef Ibrahim, Mohamed Gom`aa.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.HD.ae,Dubai HD,60,85.0,100.0,Snakes And Ladders,"Nada Alshaibani rolls the dice, and each number confronts her guests with a bold question that uncovers secrets never revealed before, leading them between the ladder's climb and the snake's surprises. Nada Alshaibani.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Nat.Geo.Abu.Dhabi.HD.ae,Nat Geo Abu Dhabi HD,117,84.5,100.0,Unlikely Animal Friends,"Animals The animal world is full of wonders, but the weirdest thing you will ever see is an elephant taking care of a sick dog or a tortoise adopting a young hippo. Watch how friendly the animals are with each other although they are enemies by nature.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,MBC.1.ae,MBC 1,93,84.8,100.0,Because I Love You So Much,"An in-depth look at couples' lives and complex relationships in an apartment building reveals desires, secrets, and moral dilemmas that may bring two people together and separate others. Ibrahim Al Harby , Hamad AlOmani, Showq Al Hadi, Noor AlShaikh, Hussein Al Heleiby, Nour Al Badri, Ibrahim Al Harbi, Hamad Al Omani.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
