country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,title_source,desc_source,title_desc_policy,language_audit,alternatives,alternative_sources,merged_alternatives,url,integration_status,covered_by
Saudi Arabia,Al Araby TV.sa,Al Araby TV.sa,openepg,saudiarabia5,12,8.1,100.0,News,News,,,NATIVE_TITLE_POLICY,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:AlArabyTV.qa@SD
,Al Hayat.sa,Al Hayat.sa,openepg,saudiarabia1,45,44.1,100.0,الحياة,قناة مصرية متنوعة تبث برامج ترفيهية ومسلسلات متنوعة وحوارات شيقة تتناول الاقتصاد والسياسة وآخر المستجدات على الساحة المصرية والعربية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Al Hayat.sa,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:AlhayatTV.eg@SD
,Al Kahera Walnas 2.sa,Al Kahera Walnas 2.sa,openepg,saudiarabia1,45,44.1,100.0,القاهرة والناس 2,ترفيه مستمر لا يتوقف، تشاهدوه فقط على قناة القاهرة والناس 2.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Al Kahera Walnas 2.sa,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:AlKaheraWalNas2.eg@SD
,Al Kahera Walnas.sa,Al Kahera Walnas.sa,openepg,saudiarabia1,45,44.1,100.0,القاهرة والناس,ترفيه مستمر لا يتوقف، تشاهدوه فقط على قناة القاهرة والناس.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Al Kahera Walnas.sa,https://www.open-epg.com/files/saudiarabia1.xml,,elcinema.xml.gz:AlKaheraWalNas.eg@SD
,Al Nahar TV.sa,Al Nahar TV.sa,openepg,saudiarabia3,53,43.6,100.0,ضيف كريم,‫‫يقوم فريق التقديم بدعوة العديد من الشخصيات من شتى مجالات الحياة لمناقشة مجموعة من المواضيع التي تهم جميع أفراد الأسرة المصرية.‬‬,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia2:Al Nahar.sa;openepg:egypt2:Al Nahar TV.eg;openepg:egypt1:النهار.eg,https://www.open-epg.com/files/saudiarabia3.xml,,elcinema.xml.gz:AlNahar.eg@SD
Egypt,Alaraby TV 2.eg,Alaraby TV 2.eg,openepg,egypt2,36,39.1,16.7,برنامج تقريبا,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,,osn.xml.gz:AlArabyTV2.qa@SD
Egypt,AlSaeedah.eg,AlSaeedah.eg,openepg,egypt2,44,39.1,18.2,برنامج,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,,elcinema.xml.gz:AlSaeedah.eg@SD
,Animal Planet HD.sa,Animal Planet HD.sa,openepg,saudiarabia1,54,44.0,100.0,Dr. Jeff: Rocky Mountain Vet,يمثل الدكتور البيطري (جيف يونغ) وفريقه الفرصة الوحيدة وربما الأمل الأخير بين الحياة والموت للحيوانات الأليفة والبرية.,openepg:saudiarabia5:Animal Planet HD.sa,openepg:saudiarabia1:Animal Planet HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:saudiarabia2:Animal Planet HD.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:AnimalPlanetEurope.uk@SD
,Bahrain TV.sa,Bahrain TV.sa,openepg,saudiarabia1,45,44.1,100.0,البحرين,قناة منوعة تبث آخر الأخبار المحلية والعالمية بالإضافة إلى الأفلام الوثائقية والترفيهية.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia5:Bahrain TV.sa,https://www.open-epg.com/files/saudiarabia1.xml,,osn.xml.gz:BahrainTV.bh@SD
Saudi Arabia,BBC World.sa,BBC World.sa,openepg,saudiarabia5,65,56.1,100.0,Verified Live,Verified Live,openepg:saudiarabia5:BBC World.sa,,EN_TITLE_NO_AR_DESC,ENGLISH_ACCEPTED_AFTER_4_AUDITS,0,,,https://www.open-epg.com/files/saudiarabia5.xml,,osn.xml.gz:BBCArabic.uk@SD
