canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
بلوم,epgshare,AE1,ar:.بلوم.ae,ar: بلوم,474,83.7,100.0,445.0,0,,UNIQUE
bloom,epgshare,AE1,en:.Bloom.ae,en: Bloom,474,83.7,100.0,437.0,0,,UNIQUE
france 24 arabic,epgshare,AE1,France.24.Arabic.ae,France 24 Arabic,413,81.7,100.0,434.3,0,,UNIQUE
cnn international,epgshare,AE1,CNN.International.ae,CNN International,404,81.7,100.0,434.3,0,,UNIQUE
france 24 english,epgshare,AE1,France.24.English.ae,France 24 English,404,81.7,100.0,434.3,0,,UNIQUE
alkass two,epgshare,AE1,Alkass.Two.HD.ae,Alkass Two HD,355,81.7,100.0,434.3,0,,UNIQUE
alkass three,epgshare,AE1,Alkass.Three.ae,Alkass Three,355,81.7,100.0,434.3,0,,UNIQUE
alkass four,epgshare,AE1,Alkass.Four.ae,Alkass Four,355,81.7,100.0,434.3,0,,UNIQUE
al iraqiya sport,epgshare,AE1,Al.Iraqiya.Sport.HD.ae,Al Iraqiya Sport HD,355,81.7,100.0,434.3,0,,UNIQUE
outdoor,epgshare,AE1,Outdoor.Channel.ae,Outdoor Channel,355,81.7,100.0,434.3,0,,UNIQUE
sports first,epgshare,AE1,Sports.First.ae,Sports First,365,81.7,100.0,434.3,0,,UNIQUE
mbc3,epgshare,SA2,EN:.MBC3.sa,EN: MBC3,333,81.7,91.9,425.39,1,epgshare:AE1:MBC.3.ae:296.8,WINNER_OF_DUPLICATES
nhk world japan,epgshare,AE1,NHK.World.Japan.ae,NHK World Japan,271,81.7,100.0,414.0,0,,UNIQUE
alfa music sa,openepg,saudiarabia5,Alfa Music HD.sa,Alfa Music HD.sa,529,38.0,100.0,379.3,0,,UNIQUE
alfa fann sa,openepg,saudiarabia5,Alfa Fann.sa,Alfa Fann.sa,263,38.1,100.0,353.53,0,,UNIQUE
saudi al ekhbariya,epgshare,AE1,Saudi.Al.Ekhbariya.HD.ae,Saudi Al Ekhbariya HD,181,81.7,100.0,351.0,0,,UNIQUE
jordan,epgshare,AE1,Jordan.TV.HD.ae,Jordan TV HD,180,81.7,100.0,350.3,0,,UNIQUE
rt arabic sa,openepg,saudiarabia5,RT Arabic.sa,RT Arabic.sa,35,153.7,100.0,350.0,2,openepg:saudiarabia1:RT Arabic.sa:222.77;openepg:saudiarabia2:RT Arabic.sa:187.72,WINNER_OF_DUPLICATES
rotana music,epgshare,AE1,Rotana.Music.ae,Rotana Music,175,81.7,100.0,346.8,0,,UNIQUE
rotana clip,epgshare,AE1,Rotana.Clip.ae,Rotana Clip,175,81.7,100.0,346.8,0,,UNIQUE
mazzika,epgshare,AE1,Mazzika.ae,Mazzika,175,81.7,100.0,346.8,0,,UNIQUE
chada,epgshare,AE1,Chada.TV.ae,Chada TV,175,81.7,100.0,346.8,0,,UNIQUE
bbc world news,epgshare,AE1,BBC.World.News.ae,BBC World News,175,81.7,100.0,346.8,0,,UNIQUE
spacetoon,epgshare,AE1,Space.Toon.ae,Space Toon,165,81.7,100.0,339.8,0,,UNIQUE
nile,epgshare,AE1,Nile.TV.ae,Nile TV,165,81.7,100.0,339.8,0,,UNIQUE
trt world,epgshare,AE1,TRT.World.ae,TRT World,165,81.7,100.0,339.8,0,,UNIQUE
press,epgshare,AE1,Press.TV.HD.ae,Press TV HD,165,81.7,100.0,339.8,0,,UNIQUE
arirang world,epgshare,AE1,Arirang.World.ae,Arirang World,165,81.7,100.0,339.8,0,,UNIQUE
rt english sa,openepg,saudiarabia5,RT English.sa,RT English.sa,20,153.7,100.0,339.5,0,,UNIQUE
world fishing network,epgshare,AE1,World.Fishing.Network.ae,World Fishing Network,164,81.8,100.0,339.23,0,,UNIQUE
zee alwan,epgshare,AE1,Zee.Alwan.ae,Zee Alwan,164,81.7,100.0,339.1,0,,UNIQUE
tv5 monde,epgshare,AE1,TV5.Monde.ae,TV5 Monde,164,81.7,100.0,339.1,0,,UNIQUE
cnbc arabiya,epgshare,AE1,CNBC.Arabiya.ae,CNBC Arabiya,160,81.7,100.0,336.3,0,,UNIQUE
dw arabia,epgshare,AE1,DW.Arabia.HD.ae,DW Arabia HD,160,81.7,100.0,336.3,0,,UNIQUE
al arabiya sa,openepg,saudiarabia5,Al Arabiya.sa,Al Arabiya.sa,14,153.7,100.0,335.3,2,openepg:saudiarabia1:Al Arabiya HD.sa:208.75;openepg:saudiarabia2:Al Arabiya HD.sa:176.5,WINNER_OF_DUPLICATES
al sahat,epgshare,AE1,Al.Sahat.TV.ae,Al Sahat TV,156,81.7,100.0,333.5,0,,UNIQUE
anewz,epgshare,AE1,Anewz.ae,Anewz,156,81.7,100.0,333.5,0,,UNIQUE
trt arabiya,epgshare,AE1,TRT.Arabiya.ae,TRT Arabiya,156,81.7,100.0,333.5,0,,UNIQUE
al hadath sa,openepg,saudiarabia5,Al Hadath.sa,Al Hadath.sa,10,153.7,100.0,332.5,2,openepg:saudiarabia1:Al Hadath.sa:210.17;openepg:saudiarabia2:Al Hadath.sa:179.3,WINNER_OF_DUPLICATES
kuwait 2,epgshare,AE1,Kuwait.TV.2.HD.ae,Kuwait TV 2 HD,154,81.7,100.0,332.1,0,,UNIQUE
kuwait al akhbar,epgshare,AE1,Kuwait.Al.Akhbar.ae,Kuwait Al Akhbar,154,81.7,100.0,332.1,0,,UNIQUE
oman,epgshare,AE1,Oman.TV.HD.ae,Oman TV HD,154,81.7,100.0,332.1,0,,UNIQUE
bloomberg sa,openepg,saudiarabia5,Bloomberg.sa,Bloomberg.sa,9,153.7,100.0,331.8,0,,UNIQUE
cgtn arabic,epgshare,AE1,CGTN.Arabic.ae,CGTN Arabic,150,81.7,100.0,329.3,0,,UNIQUE
cgtn,epgshare,AE1,CGTN.ae,CGTN,150,81.7,100.0,329.3,1,epgshare:AE1:en:.CGTN.ae:280.35,WINNER_OF_DUPLICATES
rt arabic,epgshare,AE1,RT.Arabic.HD.ae,RT Arabic HD,149,81.7,100.0,328.6,0,,UNIQUE
ستار بلس,epgshare,AE1,ar:.ستار.بلس.ae,ar: ستار بلس,137,81.7,100.0,328.19,0,,UNIQUE
saudia alaan,epgshare,AE1,Saudia.Alaan.TV.ae,Saudia Alaan TV,146,82.8,100.0,327.98,0,,UNIQUE
bahrain,epgshare,AE1,Bahrain.TV.HD.ae,Bahrain TV HD,146,82.8,100.0,327.98,0,,UNIQUE
bahrain international,epgshare,AE1,Bahrain.International.ae,Bahrain International,146,82.8,100.0,327.98,0,,UNIQUE
al rai,epgshare,AE1,Al.Rai.TV.ae,Al Rai TV,146,82.8,100.0,327.98,0,,UNIQUE
qatar 2,epgshare,AE1,Qatar.2.HD.ae,Qatar 2 HD,143,82.7,100.0,325.75,0,,UNIQUE
fairuz,epgshare,SA2,EN:.Fairuz.sa,EN: Fairuz,1292,81.7,0.0,324.3,0,,UNIQUE
rabeh saqer,epgshare,SA2,EN:.Rabeh.Saqer.sa,EN: Rabeh Saqer,822,81.7,0.0,324.3,0,,UNIQUE
karameesh,epgshare,AE1,Karameesh.ae,Karameesh,139,81.7,100.0,321.6,0,,UNIQUE
toyor aljanah,epgshare,AE1,Toyor.Aljanah.TV.ae,Toyor Aljanah TV,139,81.7,100.0,321.6,0,,UNIQUE
hodhod,epgshare,AE1,HodHod.TV.ae,HodHod TV,139,81.7,100.0,321.6,0,,UNIQUE
koogi,epgshare,AE1,Koogi.TV.ae,Koogi TV,139,81.7,100.0,321.6,0,,UNIQUE
shehab,epgshare,AE1,Shehab.TV.HD.ae,Shehab TV HD,139,81.7,100.0,321.6,0,,UNIQUE
taha,epgshare,AE1,Taha.ae,Taha,139,81.7,100.0,321.6,0,,UNIQUE
sat 7 kids,epgshare,AE1,Sat-7.Kids.ae,Sat-7 Kids,139,81.7,100.0,321.6,0,,UNIQUE
cookies,epgshare,AE1,Cookies.TV.ae,Cookies TV,139,81.7,100.0,321.6,0,,UNIQUE
zarok,epgshare,AE1,Zarok.TV.ae,Zarok TV,139,81.7,100.0,321.6,0,,UNIQUE
nogoum fm,epgshare,AE1,Nogoum.FM.TV.ae,Nogoum FM TV,139,81.7,100.0,321.6,1,epgshare:AE1:Nogoum.FM.ae:235.3,WINNER_OF_DUPLICATES
el moled,epgshare,AE1,El.Moled.ae,El Moled,139,81.7,100.0,321.6,0,,UNIQUE
falastini,epgshare,AE1,Falastini.TV.ae,Falastini TV,139,81.7,100.0,321.6,0,,UNIQUE
med muzîk,epgshare,AE1,Med.Muzîk.ae,Med Muzîk,139,81.7,100.0,321.6,0,,UNIQUE
al quds today,epgshare,AE1,Al.Quds.Today.TV.ae,Al Quds Today TV,139,81.7,100.0,321.6,0,,UNIQUE
huda,epgshare,AE1,Huda.TV.ae,Huda TV,139,81.7,100.0,321.6,0,,UNIQUE
algérie 5,epgshare,AE1,Algérie.5.ae,Algérie 5,139,81.7,100.0,321.6,0,,UNIQUE
al najaf al ashraf,epgshare,AE1,Al.Najaf.Al.Ashraf.TV.ae,Al Najaf Al Ashraf TV,139,81.7,100.0,321.6,0,,UNIQUE
daewa,epgshare,AE1,Daewa.TV.ae,Daewa TV,139,81.7,100.0,321.6,0,,UNIQUE
