canonical,winner_id,winner_name,provider,source,audit1_local_arabic,audit2_cross_source_arabic,audit3_alias_arabic,audit4_content_arabic_pct,english_candidate,decision
rt,RT Arabic.sa,RT Arabic.sa,openepg,saudiarabia1,False,True,True,82.3,False,ARABIC_SELECTED
cartoon network,Cartoon Network HD.sa,Cartoon Network HD.sa,openepg,saudiarabia3,True,True,True,68.5,False,ARABIC_SELECTED
osntv kids,OSNtv Kids.sa,OSNtv Kids.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
al arabiya,العربية.ae,العربية.ae,openepg,uae6,True,True,True,99.1,False,ARABIC_SELECTED
bloomberg,Bloomberg.sa,Bloomberg.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
al hadath,الحدث.ae,الحدث.ae,openepg,uae6,True,True,True,98.5,False,ARABIC_SELECTED
aljazeera,AlJazeera.English.net,AlJazeera English,epgshare,ALJAZEERA1,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
mbc3,MBC 3.sa,MBC 3.sa,openepg,saudiarabia1,True,True,True,95.7,False,ARABIC_SELECTED
cartoon network arabic,Cartoon-Network-Arabic-1.qa,Cartoon-Network-Arabic-1.qa,openepg,qatar5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
nick jr,Nick Jr HD.sa,Nick Jr HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
hgtv,HGTV.sa,HGTV.sa,openepg,saudiarabia1,False,True,False,64.8,False,ARABIC_SELECTED
nicktoons,NickToons HD.sa,NickToons HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
nickelodeon,Nickelodeon HD.sa,Nickelodeon HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
cartoonito,Cartoonito.sa,Cartoonito.sa,openepg,saudiarabia1,True,True,True,75.0,False,ARABIC_SELECTED
bbc world,BBC World.sa,BBC World.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
osntv comedy,OSNtv Comedy.sa,OSNtv Comedy.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
bahrain,Bahrain TV.sa,Bahrain TV.sa,openepg,saudiarabia1,False,True,True,88.2,False,ARABIC_SELECTED
moonbug kids,Moonbug Kids.sa,Moonbug Kids.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
cn arabia,CN Arabia.sa,CN Arabia.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
mbc4,MBC4.ae,MBC4.ae,openepg,uae6,True,True,True,86.1,False,ARABIC_SELECTED
cn,CN English.sa,CN English.sa,openepg,saudiarabia1,True,True,True,90.4,True,ENGLISH_REJECTED_ARABIC_AVAILABLE
motorvision,MOTORVISION.sa,MOTORVISION.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
mbc5,MBC5.ae,MBC5.ae,openepg,uae6,True,True,True,96.0,False,ARABIC_SELECTED
sky news arabia,Sky News Arabia HD.sa,Sky News Arabia HD.sa,openepg,saudiarabia1,False,True,True,82.3,False,ARABIC_SELECTED
osntv showcase,OSNtv Showcase.sa,OSNtv Showcase.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
cnn,CNN.sa,CNN.sa,openepg,saudiarabia1,False,True,True,79.9,False,ARABIC_SELECTED
tlc,TLC HD.sa,TLC HD.sa,openepg,saudiarabia1,False,True,True,63.5,False,ARABIC_SELECTED
