2023 Alkass 1.qa	2023 Alkass 1.qa	openepg:qatar3
2023 Alkass 3.qa	2023 Alkass 3.qa	openepg:qatar2
2023 Alkass 5.qa	2023 Alkass 5.qa	openepg:qatar2
2023 Alkass 6.qa	2023 Alkass 6.qa	openepg:qatar2
2023 Alkass 7.qa	2023 Alkass 7.qa	openepg:qatar2
2023 Alkass 8.qa	2023 Alkass 8.qa	openepg:qatar2
AlJazeera.English.net	AlJazeera English	epgshare:ALJAZEERA1
AlSharqiya.eg	AlSharqiya.eg	openepg:egypt2
Amman TV.sa	Amman TV.sa	openepg:saudiarabia1
Bloomberg-1.qa	Bloomberg-1.qa	openepg:qatar4
Cartoonito.sa	Cartoonito.sa	openepg:saudiarabia1
Discovery ID.sa	Discovery ID.sa	openepg:saudiarabia1
HGTV.sa	HGTV.sa	openepg:saudiarabia1
iFILM TV.eg	iFILM TV.eg	openepg:egypt2
LTV.sa	LTV.sa	openepg:saudiarabia1
MBC4.ae	MBC4.ae	openepg:uae6
National Geographic.eg	National Geographic.eg	openepg:egypt2
Nessma.eg	Nessma.eg	openepg:egypt2
Star Action.sa	Star Action.sa	openepg:saudiarabia1
Star Movies HD.sa	Star Movies HD.sa	openepg:saudiarabia1
Star World HD.sa	Star World HD.sa	openepg:saudiarabia1
Ten.sa	Ten.sa	openepg:saudiarabia1
Thikrayat Tv.eg	Thikrayat Tv.eg	openepg:egypt2
Utv.eg	Utv.eg	openepg:egypt2
العربية Business.ae	العربية Business.ae	openepg:uae6
ميكس وان.eg	ميكس وان.eg	openepg:egypt1
