id,name,provider,source,status,programmes,future_hours,sample_title,sample_desc,url
official.rotana.cinema.ksa,Rotana Cinema KSA,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=431
official.rotana.lbc,LBC,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=434
official.rotana.khalijia,Rotana Khalijia,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=435
official.rotana.drama,Rotana Drama,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=436
official.rotana.comedy,Rotana Comedy,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=437
official.rotana.classic,Rotana Classic,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=438
official.rotana.cinema.egypt,Rotana Cinema Egypt,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=439
official.rotana.clip,Rotana Clip,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=443
official.rotana.resalah,Al Resalah,official,rotana,INSUFFICIENT_SCHEDULE,0,0,,,https://www.rotana.net/en/streams?channel=446
official.art.aflam1,ART Aflam 1,official,artonline,NO_PROGRAMME_SAMPLE,0,0.0,,,https://www.artonline.tv/guide/1
official.art.aflam2,ART Aflam 2,official,artonline,NO_PROGRAMME_SAMPLE,0,0.0,,,https://www.artonline.tv/guide/2
official.art.cinema,ART Cinema,official,artonline,NO_PROGRAMME_SAMPLE,0,0.0,,,https://www.artonline.tv/guide/3
official.art.hekayat,ART Hekayat,official,artonline,NO_PROGRAMME_SAMPLE,0,0.0,,,https://www.artonline.tv/guide/4
official.art.hekayat2,ART Hekayat 2,official,artonline,NO_PROGRAMME_SAMPLE,0,0.0,,,https://www.artonline.tv/guide/5
