status,name,id,provider,source,country,existing_ids,future_programmes,future_hours,desc_pct,quality_score,url
NAME_COLLISION_REVIEW,Chada TV,Chada.TV.ae,epgshare,AE1,UAE,Chada TV,207,84.7,100.0,424.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,RT Arabic HD,RT.Arabic.HD.ae,epgshare,AE1,UAE,RTArabic.ru@SD,163,84.7,100.0,380.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Bahrain TV HD,Bahrain.TV.HD.ae,epgshare,AE1,UAE,BahrainTV.bh@SD,134,86.4,100.0,353.6,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Al Rai TV,Al.Rai.TV.ae,epgshare,AE1,UAE,AlraiTV.kw@SD,134,86.4,100.0,353.6,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Al Arabiya HD,Al.Arabiya.HD.ae,epgshare,AE1,UAE,AlarabiyaPortrait.ae@SD,122,84.7,100.0,339.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Al Araby HD,Al.Araby.HD.ae,epgshare,AE1,UAE,AlArabyTV.qa@SD,108,84.7,100.0,325.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Abu Dhabi HD,Abu.Dhabi.HD.ae,epgshare,AE1,UAE,AbuDhabiTV.ae@SD,95,85.2,100.0,312.8,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Al Hadath,Al.Hadath.ae,epgshare,AE1,UAE,AlHadath.sa@SD,85,84.7,100.0,302.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Sky News Arabia HD,Sky.News.Arabia.HD.ae,epgshare,AE1,UAE,SkyNewsArabia.ae@SD,85,84.7,100.0,302.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Al Araby 2 HD,Al.Araby.2.HD.ae,epgshare,AE1,UAE,AlArabyTV2.qa@SD,77,85.7,100.0,295.55,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Dubai Sports 1 HD,Dubai.Sports.1.HD.ae,epgshare,AE1,UAE,sport24.dubaisports.1,70,85.2,100.0,287.8,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Dubai Sports 2,Dubai.Sports.2.ae,epgshare,AE1,UAE,sport24.dubaisports.2,62,84.7,100.0,279.05,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Dubai HD,Dubai.HD.ae,epgshare,AE1,UAE,DubaiTV.ae@SD,60,85.2,100.0,277.8,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Dubai,Dubai.ae,epgshare,AE1,UAE,DubaiTV.ae@SD,75,62.2,82.7,244.46,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
NAME_COLLISION_REVIEW,Dubai Sports 1,Dubai.Sports.1.ae,epgshare,AE1,UAE,sport24.dubaisports.1,38,39.9,0.0,107.85,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
