country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,quality_score,alternatives,alternative_sources,url
Saudi Arabia,Alfa Music HD.sa,Alfa Music HD.sa,openepg,saudiarabia5,578,40.9,100.0,Ekhtalafnaa Fara'naa Eftara'naa,Ekhtalafnaa Fara'naa Eftara'naa,411.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Alfa Fann.sa,Alfa Fann.sa,openepg,saudiarabia5,281,40.8,100.0,Arsel Salaamee,Arsel Salaamee,411.2,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,RT Arabic.sa,RT Arabic.sa,openepg,saudiarabia5,44,156.5,100.0,Latest News,Latest News,378.75,2,openepg:saudiarabia1:RT Arabic.sa;openepg:saudiarabia2:RT Arabic.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Cartoonito.sa,Cartoonito.sa,openepg,saudiarabia1,214,40.8,100.0,مستر بيين:هانتد هاوس,انضموا إلى (مستر بيين) الشخصية الغريبة المرحة، مع صديق عمره الحميم (دميته المحشوة) في مغامراتهما المضحكة.,375.2,1,openepg:saudiarabia2:Cartoonito.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Cartoon Network HD.sa,Cartoon Network HD.sa,openepg,saudiarabia5,212,40.9,100.0,The Amazing World Of Gumball,The Amazing World Of Gumball,373.35,2,openepg:saudiarabia3:Cartoon Network HD.sa;openepg:saudiarabia4:Cartoon Network HD.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,OSNtv Kids.sa,OSNtv Kids.sa,openepg,saudiarabia5,206,40.9,100.0,Dino Pops,Dino Pops,367.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,RT English.sa,RT English.sa,openepg,saudiarabia5,26,156.5,100.0,Headline News,Headline News,360.75,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Majid.sa,Majid.sa,openepg,saudiarabia1,193,40.9,100.0,أومكا آند مي,يستكشف شبل الدب القطبي المتفائل والفضولي (أومكا)، عالم القطب الشمالي الاستثنائي برفقة أفضل أصدقائه.,354.35,1,openepg:saudiarabia2:Majid.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Al Arabiya.sa,Al Arabiya.sa,openepg,saudiarabia5,19,156.5,100.0,Al Arabiya News,Al Arabiya News,353.75,2,openepg:saudiarabia1:Al Arabiya HD.sa;openepg:saudiarabia2:Al Arabiya HD.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,France 24.sa,France 24.sa,openepg,saudiarabia1,192,40.8,100.0,العالم علوم,نسمع كل يوم عن تطور أو اكتشاف علمي جديد قد يغير حياتنا أو تصورنا للكون والطبيعة. العالم علوم محطة نتوقف فيها كل أسبوع، لمحاولة فهم خبر بارز في علم الفلك أو علم الأحياء أو علم الآثار أو غيرها.,353.2,1,openepg:saudiarabia2:France 24.sa,https://www.open-epg.com/files/saudiarabia1.xml
Qatar/MENA,AlJazeera English,AlJazeera.English.net,epgshare,ALJAZEERA1,131,84.5,100.0,NEWS 30min,Latest news and analysis from around the world.,347.75,0,,https://epgshare01.online/epgshare01/epg_ripper_ALJAZEERA1.xml.gz
Saudi Arabia,Al Hadath.sa,Al Hadath.sa,openepg,saudiarabia5,13,156.5,100.0,Al Hadath News,Al Hadath News,347.75,2,openepg:saudiarabia1:Al Hadath.sa;openepg:saudiarabia2:Al Hadath.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Bloomberg.sa,Bloomberg.sa,openepg,saudiarabia5,13,156.5,100.0,Bloomberg This Weekend,Bloomberg This Weekend,347.75,0,,https://www.open-epg.com/files/saudiarabia5.xml
UAE,فيروز.ae,فيروز.ae,openepg,uae6,743,47.1,0.0,على جسر اللوزية,,340.65,0,,https://www.open-epg.com/files/uae6.xml
UAE,رابح صقر.ae,رابح صقر.ae,openepg,uae6,472,47.1,0.0,باين عليك,,340.65,0,,https://www.open-epg.com/files/uae6.xml
UAE,MBC3.ae,MBC3.ae,openepg,uae6,165,47.5,100.0,Coconut The Little Dragon موسم 1 حلقة 42,انضموا إلى التنين الصغير كوكونت وأصدقائه الطريفين في مغامرات نارية! من توحيد التنانين إلى حل الألغاز الجنونية، يثبتون أن الحجم الصغير لا يتنافى مع امتلاك قلب كبير وخيال أكبر بكثير.,336.25,0,,https://www.open-epg.com/files/uae6.xml
Qatar,Cartoon-Network-Arabic-1.qa,Cartoon-Network-Arabic-1.qa,openepg,qatar5,512,40.6,0.0,Snail Trail - Sloths,,330.9,1,openepg:qatar4:Cartoon-Network-Arabic-1.qa,https://www.open-epg.com/files/qatar5.xml
Saudi Arabia,Disney Junior.sa,Disney Junior.sa,openepg,saudiarabia1,163,40.8,100.0,صوفيا الأولى: سحر ملكي:نيو هورس أون ذا بلوك ...,انضموا إلى صوفيا في تشارمزويل، حيث يحمل كل يوم دروسًا سحرية ومغامراتٍ ملكية!,324.2,1,openepg:saudiarabia2:Disney Junior.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Nick Jr HD.sa,Nick Jr HD.sa,openepg,saudiarabia5,144,40.9,100.0,Barbapapa - One Big Happy Family!,Barbapapa - One Big Happy Family!,305.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Rotana Kids.sa,Rotana Kids.sa,openepg,saudiarabia1,140,40.8,100.0,صغار ستار:الحلقة 34,يصعد الأطفال الصغار إلى المسرح ليبهروا الجمهور الكبير بمواهبهم الغنائية في برنامج (ستار صغار).,301.2,1,openepg:saudiarabia2:Rotana Kids.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,MBC 3.sa,MBC 3.sa,openepg,saudiarabia1,139,40.8,100.0,كوكونات التنين الصغير:الحلقة 42,يعيش التنين كوكونات في جزيرة خاصة تشكل موطناً للعديد من التنانين. حيث يعيشون مغامرات رائعة ويشكلون صداقات متينة.,300.2,4,openepg:saudiarabia5:MBC 3.sa;openepg:saudiarabia2:MBC 3.sa;openepg:saudiarabia3:MBC 3 HD.sa;openepg:saudiarabia4:MBC 3 HD.sa,https://www.open-epg.com/files/saudiarabia1.xml
Qatar,HGTV.qa,HGTV.qa,openepg,qatar4,207,40.3,0.0,| S1 التوأمان المبدعان - مصنع الأحلام,,287.45,1,openepg:qatar5:HGTV.qa,https://www.open-epg.com/files/qatar4.xml
Saudi Arabia,NickToons HD.sa,NickToons HD.sa,openepg,saudiarabia5,123,40.9,100.0,Wylde Pak,Wylde Pak,284.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Qatar/MENA,AlJazeera Arabic,AlJazeera.Arabic.net,epgshare,ALJAZEERA1,68,84.5,94.1,نشرة الأخبار,جولة في أهم الأحداث العربية والعالمية.,280.03,0,,https://epgshare01.online/epgshare01/epg_ripper_ALJAZEERA1.xml.gz
Saudi Arabia,Nickelodeon HD.sa,Nickelodeon HD.sa,openepg,saudiarabia5,114,40.9,100.0,Danger Force,Danger Force,275.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Qatar,Euro-News.qa,Euro-News.qa,openepg,qatar5,191,40.7,0.0,Science Voyagers S1 | E10,,272.05,1,openepg:qatar4:Euro-News.qa,https://www.open-epg.com/files/qatar5.xml
Saudi Arabia,Al Resalah.sa,Al Resalah.sa,openepg,saudiarabia1,108,41.4,100.0,همس الزهور,يخاطب البرنامج شريحة الفتيات بما يناسبهن من مواضيع وأفكار، ويعرض رسائل تعليمية وتثقيفية موجهة لفتيات الأمة الإسلامية.,270.1,1,openepg:saudiarabia2:Al Resalah.sa,https://www.open-epg.com/files/saudiarabia1.xml
Qatar,cartoonito.qa,cartoonito.qa,openepg,qatar4,189,40.2,0.0,تويلف مينتس ويذ,,269.3,0,,https://www.open-epg.com/files/qatar4.xml
Saudi Arabia,Disney Channel.sa,Disney Channel.sa,openepg,saudiarabia1,107,41.0,100.0,فينياس آند فيرب:ذا ماغنيفيسنت فيو,مع اقتراب عطلة الصيف، يقرر فينياس وفيرب أن يجعلا كل يوم أكثر مرحاً وتشويقاً من سابقه، فينطلقان في مغامرات إجازة زاخرة باللهو والفرح، والجرأة.,268.5,1,openepg:saudiarabia2:Disney Channel.sa,https://www.open-epg.com/files/saudiarabia1.xml
UAE,الحدث.ae,الحدث.ae,openepg,uae6,97,47.5,100.0,أخبار الحدث,كن في الطليعة مع آخر الأخبار العاجلة وأهم الأحداث الجارية، بالإضافة إلى معرفة كل ما يدور حولك من أحداث سواء كانت في المنطقة العربية أو حول العالم.,268.25,0,,https://www.open-epg.com/files/uae6.xml
Egypt,OSN TV Comedy.eg,OSN TV Comedy.eg,openepg,egypt2,98,43.2,100.0,2 Broke Girls S6,"In the sixth season, Max and Caroline have to balance their work in the restaurant with their cupcake business, and little by little, their business flourishes.",262.8,0,,https://www.open-epg.com/files/egypt2.xml
Saudi Arabia,KTV Channel 1 HD.sa,KTV Channel 1 HD.sa,openepg,saudiarabia5,99,40.8,100.0,Qabl Al A'sr,Qabl Al A'sr,260.2,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,BBC World.sa,BBC World.sa,openepg,saudiarabia5,97,41.0,100.0,BBC News,BBC News,258.5,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,BBC World News.sa,BBC World News.sa,openepg,saudiarabia1,96,41.0,100.0,أخبار بي بي سي,أهم وآخر الأخبار من حول العالم، تغطي جميع بقاع الأرض وتعرض كل التطورات على جميع الأصعدة.,257.5,1,openepg:saudiarabia2:BBC World News.sa,https://www.open-epg.com/files/saudiarabia1.xml
Qatar,Bara3em-1.qa,Bara3em-1.qa,openepg,qatar4,177,40.3,0.0,في عمق الحدث,,257.45,1,openepg:qatar5:Bara3em-1.qa,https://www.open-epg.com/files/qatar4.xml
Qatar,Jeem-HD-1-01.qa,Jeem-HD-1-01.qa,openepg,qatar4,176,40.3,0.0,رياضة,,256.45,1,openepg:qatar5:Jeem-HD-1-01.qa,https://www.open-epg.com/files/qatar4.xml
Saudi Arabia,Blippi and Friends.sa,Blippi and Friends.sa,openepg,saudiarabia5,93,41.1,100.0,Blippi,Blippi,254.65,2,openepg:saudiarabia1:Blippi And Friends.sa;openepg:saudiarabia2:Blippi And Friends.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,OSNtv Comedy.sa,OSNtv Comedy.sa,openepg,saudiarabia5,92,40.9,100.0,Friends,Friends,253.35,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Bahrain TV.sa,Bahrain TV.sa,openepg,saudiarabia5,84,45.5,100.0,Awal Mara Ashof,Awal Mara Ashof,252.25,2,openepg:saudiarabia1:Bahrain TV.sa;openepg:saudiarabia2:Bahrain TV.sa,https://www.open-epg.com/files/saudiarabia5.xml
UAE,العربية.ae,العربية.ae,openepg,uae6,78,47.5,100.0,أخبار العربية,كن في الطليعة مع آخر الأخبار العاجلة وأهم الأحداث الجارية، بالإضافة إلى معرفة كل ما يدور حولك من أحداث سواء كانت في المنطقة العربية أو حول العالم.,249.25,0,,https://www.open-epg.com/files/uae6.xml
Egypt,أو إس إن كوميدي.eg,أو إس إن كوميدي.eg,openepg,egypt1,89,39.4,100.0,2 Broke Girls S6,في الموسم السادس من المسلسل، على كل من ماكس وكارولين الموازنة بين عملهما في المطعم وبين مشروعهما الخاص بالكعك المكوب، وشيئًا فشيئًا يزدهر مشروعهما معًا.,248.1,0,,https://www.open-epg.com/files/egypt1.xml
Saudi Arabia,Space Toon.sa,Space Toon.sa,openepg,saudiarabia1,85,40.8,100.0,باص المدرسة العجيب يعود مجدداً,تأخذ الآنسة فريزل صلاب صفها في مغامرات علمية برية عديدة. إنها سلسلة الرسوم المتحركة الشهيرة والمحبوبة، في حُلّة جديدة!,246.2,1,openepg:saudiarabia2:Space Toon.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,RT News.sa,RT News.sa,openepg,saudiarabia1,83,41.0,100.0,هيدلاين نيوز,تابع من هنا آخر وأحدث الأخبار المحلية والعالمية.,244.5,1,openepg:saudiarabia2:RT News.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Oman TV.sa,Oman TV.sa,openepg,saudiarabia5,81,41.1,100.0,Lasting Virtue,Lasting Virtue,242.65,2,openepg:saudiarabia1:Oman TV.sa;openepg:saudiarabia2:Oman TV.sa,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,CN Arabia.sa,CN Arabia.sa,openepg,saudiarabia5,81,41.0,100.0,Mr Bean: The Animated Series,Mr Bean: The Animated Series,242.5,0,,https://www.open-epg.com/files/saudiarabia5.xml
Saudi Arabia,Moonbug Kids.sa,Moonbug Kids.sa,openepg,saudiarabia5,81,40.8,100.0,Little Angel,Little Angel,242.2,0,,https://www.open-epg.com/files/saudiarabia5.xml
UAE,MBC4.ae,MBC4.ae,openepg,uae6,69,47.4,100.0,أنا أم موسم 2 حلقة 208,تقرر أليس أن تقدم لحسن هدية مميزة. تثير أناقة وجمال سعاد صدمة الجميع عند خروجها للقاء إحسان. أما سلمى، فتستاء من عودة كفاح إلى حياة السهر.,240.1,0,,https://www.open-epg.com/files/uae6.xml
Saudi Arabia,HGTV.sa,HGTV.sa,openepg,saudiarabia1,78,41.1,100.0,تجديد ألوها:إعادة إعمار حريق لاهينا,يعمل كاموهاي وتريستين على إعادة بناء الأمل بعد حرائق لاهاينا.,239.65,1,openepg:saudiarabia2:HGTV.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,CN Arabic.sa,CN Arabic.sa,openepg,saudiarabia1,77,41.0,100.0,كريغ أوف ذا كريك:بيغ بينشي,أمسك سيفك الخاص المصنوع من ورق-التواليت وتابع الأصدقاء كريغ، جي بي، كيلسي وهم يستكشفون الخليج قرب حيّهم. عالم مفتوح لا حدود له، تديره شخصيات ملونة تعزز المغامرات الخيالية المتجددة كل يوم.,238.5,1,openepg:saudiarabia2:CN Arabic.sa,https://www.open-epg.com/files/saudiarabia1.xml
Saudi Arabia,Al Mamlaka TV.sa,Al Mamlaka TV.sa,openepg,saudiarabia1,75,41.5,100.0,المملكة اليوم,يتناول البرنامج الأحداث والأخبار السياسية والاجتماعية ومشاكل وهموم المواطنين اليومية.,237.25,1,openepg:saudiarabia2:Al Mamlaka TV.sa,https://www.open-epg.com/files/saudiarabia1.xml
